sale_id,customer_id,product_name,category,quantity,unit_price,total_amount,sale_date,payment_method
386,1014.0,Phone,Electronics,1,10601,10601,2025-04-24,Cash
387,1100.0,Monitor,Electronics,1,4841,4841,2025-01-23,Card
388,1058.0,Printer,Electronics,5,18677,93385,2025-05-12,NetBanking
389,1014.0,Laptop,Electronics,1,12097,12097,2025-05-22,UPI
390,1079.0,Tablet,Electronics,4,904,3616,2025-03-16,NetBanking
391,1051.0,Phone,Electronics,5,8454,42270,2025-05-27,Card
392,1090.0,Headphones,Accessories,2,5049,10098,2025-03-10,Cash
393,1036.0,Printer,Electronics,2,2573,5146,2025-02-12,NetBanking
394,1037.0,Headphones,Accessories,3,16367,49101,2025-01-20,Cash
395,1034.0,Mouse,Accessories,4,19957,79828,2025-06-07,Card
396,1061.0,Phone,Electronics,2,10483,20966,2025-01-02,NetBanking
397,1044.0,Headphones,Accessories,3,14925,44775,2025-03-27,NetBanking
398,1086.0,Keyboard,Accessories,3,11007,33021,2025-06-04,Card
399,1064.0,Tablet,Electronics,2,13549,27098,2025-03-23,Cash
400,1097.0,Printer,Electronics,5,8443,42215,2025-03-25,NetBanking
401,1037.0,Headphones,Accessories,3,4231,12693,2025-05-25,Card
402,1078.0,Keyboard,Accessories,5,1381,6905,2025-04-29,Card
403,1059.0,Monitor,Electronics,1,13906,13906,2025-06-22,NetBanking
404,1019.0,Monitor,Electronics,2,8779,17558,2025-06-18,Card
405,1094.0,Headphones,Accessories,4,2923,11692,2025-04-25,NetBanking
406,1077.0,Headphones,Accessories,5,17100,85500,2025-06-27,NetBanking
407,1072.0,Laptop,Electronics,3,18093,54279,2025-06-02,UPI
408,1014.0,Mouse,Accessories,3,5950,17850,2025-06-15,UPI
409,1075.0,Headphones,Accessories,3,14605,43815,2025-01-28,UPI
410,1013.0,Monitor,Electronics,2,17233,34466,2025-05-13,Card
411,1060.0,Tablet,Electronics,4,15673,62692,2025-06-23,Card
412,1046.0,Laptop,Electronics,4,3925,15700,2025-03-17,NetBanking
413,1011.0,Phone,Electronics,2,11914,23828,2025-03-21,Cash
414,1061.0,Mouse,Accessories,5,16324,81620,2025-03-31,NetBanking
415,1013.0,Printer,Electronics,4,10950,43800,2025-01-18,Cash
416,1006.0,Phone,Electronics,1,11741,11741,2025-06-15,UPI
417,1089.0,Keyboard,Accessories,2,17408,34816,2025-02-14,Card
418,1044.0,Headphones,Accessories,4,8097,32388,2025-04-14,Card
419,1025.0,Headphones,Accessories,4,1456,5824,2025-06-07,Card
420,1060.0,Headphones,Accessories,4,645,2580,2025-06-30,Card
421,1028.0,Monitor,Electronics,1,19418,19418,2025-01-27,Card
422,1048.0,Tablet,Electronics,2,15493,30986,2025-01-30,Cash
423,1088.0,Printer,Electronics,5,10769,53845,2025-06-02,NetBanking
424,1081.0,Headphones,Accessories,5,4243,21215,2025-03-31,Cash
425,1061.0,Keyboard,Accessories,3,19838,59514,2025-01-22,Card
426,1042.0,Phone,Electronics,2,10506,21012,2025-01-30,Card
427,1049.0,Keyboard,Accessories,5,13229,66145,2025-04-18,Card
428,1076.0,Headphones,Accessories,4,6586,26344,2025-05-05,Card
429,1074.0,Keyboard,Accessories,4,9964,39856,2025-02-05,Card
430,1042.0,Printer,Electronics,5,2256,11280,2025-04-02,UPI
431,1065.0,Keyboard,Accessories,2,13081,26162,2025-05-24,NetBanking
432,1054.0,Printer,Electronics,4,15044,60176,2025-05-06,Card
433,1011.0,Laptop,Electronics,2,10071,20142,2025-01-09,Cash
434,1030.0,Monitor,Electronics,2,15485,30970,2025-05-25,NetBanking
435,1073.0,Phone,Electronics,5,4242,21210,2025-03-10,Cash
436,1072.0,Laptop,Electronics,4,18402,73608,2025-02-25,NetBanking
437,1014.0,Mouse,Accessories,3,1556,4668,2025-04-26,Cash
438,1046.0,Phone,Electronics,4,4346,17384,2025-03-02,Card
439,1097.0,Tablet,Electronics,5,14530,72650,2025-02-12,Card
440,1028.0,Mouse,Accessories,1,19180,19180,2025-03-31,Cash
441,1079.0,Keyboard,Accessories,3,10089,30267,2025-03-16,Cash
442,1068.0,Phone,Electronics,2,13987,27974,2025-01-16,Cash
443,1086.0,Keyboard,Accessories,2,8681,17362,2025-02-07,Cash
444,1033.0,Headphones,Accessories,4,5158,20632,2025-05-28,Cash
445,1083.0,Headphones,Accessories,4,15310,61240,2025-01-20,UPI
446,1053.0,Monitor,Electronics,3,15399,46197,2025-05-05,Cash
447,1077.0,Laptop,Electronics,1,15522,15522,2025-06-12,Cash
448,1009.0,Headphones,Accessories,2,14578,29156,2025-02-24,NetBanking
449,1036.0,Tablet,Electronics,3,11567,34701,2025-05-21,Card
450,1075.0,Printer,Electronics,3,2086,6258,2025-01-12,UPI
451,1083.0,Printer,Electronics,1,4571,4571,2025-02-10,NetBanking
452,1061.0,Laptop,Electronics,4,7129,28516,2025-06-26,Card
453,1086.0,Monitor,Electronics,2,9479,18958,2025-01-24,Cash
454,1034.0,Phone,Electronics,3,5923,17769,2025-01-14,NetBanking
455,1083.0,Monitor,Electronics,2,14565,29130,2025-06-17,UPI
456,1093.0,Phone,Electronics,1,7493,7493,2025-05-03,UPI
457,1018.0,Mouse,Accessories,5,15083,75415,2025-01-03,UPI
458,1092.0,Tablet,Electronics,1,14338,14338,2025-06-27,Card
459,1064.0,Phone,Electronics,2,13052,26104,2025-01-23,UPI
460,1014.0,Tablet,Electronics,3,10305,30915,2025-02-05,NetBanking
461,1099.0,Keyboard,Accessories,2,2741,5482,2025-05-16,UPI
462,1081.0,Keyboard,Accessories,4,12007,48028,2025-02-24,Card
463,1054.0,Printer,Electronics,2,3340,6680,2025-01-26,Card
464,1099.0,Phone,Electronics,5,13083,65415,2025-03-31,NetBanking
465,1042.0,Keyboard,Accessories,2,9575,19150,2025-06-15,UPI
466,1033.0,Monitor,Electronics,1,10384,10384,2025-02-22,Card
467,1098.0,Headphones,Accessories,3,2288,6864,2025-03-03,NetBanking
468,1051.0,Phone,Electronics,2,16870,33740,2025-06-13,UPI
469,1070.0,Laptop,Electronics,3,10870,32610,2025-02-03,NetBanking
470,1075.0,Headphones,Accessories,3,18403,55209,2025-06-24,Card
471,1100.0,Printer,Electronics,1,1046,1046,2025-05-31,UPI
472,1002.0,Monitor,Electronics,2,1805,3610,2025-01-16,NetBanking
473,1067.0,Monitor,Electronics,5,14112,70560,2025-04-19,NetBanking
474,1011.0,Keyboard,Accessories,3,3239,9717,2025-03-21,UPI
475,1068.0,Mouse,Accessories,2,18076,36152,2025-03-25,NetBanking
476,1078.0,Phone,Electronics,3,14835,44505,2025-03-03,UPI
477,1033.0,Phone,Electronics,4,4300,17200,2025-04-27,UPI
478,1041.0,Keyboard,Accessories,1,915,915,2025-02-05,UPI
479,1022.0,Printer,Electronics,3,17637,52911,2025-05-13,Cash
480,1023.0,Tablet,Electronics,2,9306,18612,2025-01-31,UPI
481,1044.0,Headphones,Accessories,3,17665,52995,2025-01-17,Cash
482,1094.0,Phone,Electronics,4,15415,61660,2025-05-11,Cash
483,1008.0,Printer,Electronics,5,5968,29840,2025-04-05,Card
484,1034.0,Phone,Electronics,5,4279,21395,2025-02-28,UPI
485,1006.0,Laptop,Electronics,2,2006,4012,2025-05-01,Cash
486,1051.0,Keyboard,Accessories,2,1658,3316,2025-05-22,NetBanking
487,1030.0,Tablet,Electronics,2,14139,28278,2025-03-23,Cash
488,1010.0,Tablet,Electronics,1,16950,16950,2025-06-22,UPI
489,1024.0,Mouse,Accessories,5,2004,10020,2025-04-13,UPI
490,1062.0,Monitor,Electronics,3,11224,33672,2025-01-23,NetBanking
491,1002.0,Tablet,Electronics,2,10054,20108,2025-05-25,Cash
492,1097.0,Mouse,Accessories,4,12567,50268,2025-06-01,NetBanking
493,1006.0,Mouse,Accessories,5,8532,42660,2025-02-08,UPI
494,1054.0,Laptop,Electronics,2,18245,36490,2025-03-30,UPI
495,1044.0,Laptop,Electronics,4,10576,42304,2025-01-27,Card
496,1070.0,Mouse,Accessories,4,16622,66488,2025-01-16,Card
497,1094.0,Monitor,Electronics,1,1938,1938,2025-03-01,NetBanking
498,1092.0,Tablet,Electronics,4,3282,13128,2025-05-29,UPI
499,1067.0,Keyboard,Accessories,4,2952,11808,2025-06-01,UPI
500,1058.0,Keyboard,Accessories,2,10057,20114,2025-03-08,Cash
11,1004.0,Keyboard,Accessories,3,13991,41973,2025-06-21,Card
